% 1. Motion Testdata
%
% 2. Sources:
%	(a) Creator: Timo Sztyler
%	(b) Date: 1438939089287
%
@RELATION motion

@ATTRIBUTE id NUMERIC
@ATTRIBUTE subjectID NUMERIC
@ATTRIBUTE windowID NUMERIC
@ATTRIBUTE mean_x NUMERIC
@ATTRIBUTE mean_y NUMERIC
@ATTRIBUTE mean_z NUMERIC
@ATTRIBUTE sd_x NUMERIC
@ATTRIBUTE sd_y NUMERIC
@ATTRIBUTE sd_z NUMERIC
@ATTRIBUTE variance_x NUMERIC
@ATTRIBUTE variance_y NUMERIC
@ATTRIBUTE variance_z NUMERIC
@ATTRIBUTE median_x NUMERIC
@ATTRIBUTE median_y NUMERIC
@ATTRIBUTE median_z NUMERIC
@ATTRIBUTE iqr_x NUMERIC
@ATTRIBUTE iqr_y NUMERIC
@ATTRIBUTE iqr_z NUMERIC
@ATTRIBUTE mad_x NUMERIC
@ATTRIBUTE mad_y NUMERIC
@ATTRIBUTE mad_z NUMERIC
@ATTRIBUTE kurtosis_x NUMERIC
@ATTRIBUTE kurtosis_y NUMERIC
@ATTRIBUTE kurtosis_z NUMERIC
@ATTRIBUTE energy_x NUMERIC
@ATTRIBUTE energy_y NUMERIC
@ATTRIBUTE energy_z NUMERIC
@ATTRIBUTE entropyF_x NUMERIC
@ATTRIBUTE entropyF_y NUMERIC
@ATTRIBUTE entropyF_z NUMERIC
@ATTRIBUTE meanDC_x NUMERIC
@ATTRIBUTE meanDC_y NUMERIC
@ATTRIBUTE meanDC_z NUMERIC
@ATTRIBUTE cc_x NUMERIC
@ATTRIBUTE cc_y NUMERIC
@ATTRIBUTE cc_z NUMERIC
@ATTRIBUTE gravity_x NUMERIC
@ATTRIBUTE gravity_y NUMERIC
@ATTRIBUTE gravity_z NUMERIC
@ATTRIBUTE orientation_x NUMERIC
@ATTRIBUTE orientation_y NUMERIC
@ATTRIBUTE orientation_z NUMERIC
@ATTRIBUTE entropyT_x NUMERIC
@ATTRIBUTE entropyT_y NUMERIC
@ATTRIBUTE entropyT_z NUMERIC
@ATTRIBUTE orientationDZ NUMERIC
@ATTRIBUTE humanactivities STRING
@ATTRIBUTE humanpositions STRING
@ATTRIBUTE class {climbingdown,climbingup,jumping,lying,standing,sitting,running,walking}
@ATTRIBUTE deviceposition STRING

@DATA
1175,1,1,3.12251,6.63964,2.76550,3.71278,4.12994,3.52397,13.78474,17.05644,12.41836,1.98896,5.72421,1.29574,3.03206,7.39062,2.39693,2.41393,3.58413,2.44340,10.28557,1.90041,6.78795,1206.90165,3166.72613,1028.64363,3.13549,3.13549,3.13549,17.72489,17.17674,15.91075,0.37311,0.22826,0.67070,-1.55546,8.34496,0.10900,-10.55851,89.25167,175.99156,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1176,1,2,3.35623,6.58085,2.37612,3.30877,3.97430,3.14538,10.94794,15.79508,9.89343,2.82480,6.31047,1.09610,2.91880,6.75345,2.14829,2.14163,3.43012,2.28399,12.18025,1.85682,5.47453,1110.22061,2992.08313,800.28320,3.13549,3.13549,3.13549,41.53282,59.12568,3.49660,0.28329,0.26816,0.55515,-1.45649,7.96086,-0.08459,-10.36798,90.60881,-176.67597,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1177,1,3,2.98595,6.63361,2.67969,3.13304,3.90150,2.92845,9.81596,15.22174,8.57584,2.23117,6.26913,1.43869,3.09435,6.31687,4.02613,2.19988,3.33791,2.39121,9.81945,1.86741,3.68366,966.57034,3039.06218,813.12664,3.13549,3.13549,3.13549,5.65318,40.74382,2.73001,0.31786,0.32629,0.37006,-1.25785,7.75948,-0.06760,-9.20780,90.49914,-176.92373,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1178,1,4,2.43656,6.59770,2.28094,2.98524,3.95288,2.91505,8.91167,15.62529,8.49753,1.74420,5.53542,1.12545,2.00253,6.23122,2.64255,1.69248,3.36910,2.10851,21.85491,1.93129,6.90354,765.23524,3055.63053,699.20827,3.13549,3.13549,3.13549,3.71305,26.57720,17.72609,0.36166,0.37235,0.42325,-0.92582,7.79839,0.08150,-6.77040,89.40123,174.96918,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1179,1,5,3.40237,6.78427,2.63932,3.62552,3.70339,3.03567,13.14436,13.71513,9.21527,2.32187,6.52617,1.12492,2.13572,5.49456,4.27689,2.23702,3.16269,2.41427,10.10494,1.87929,4.28171,1215.53584,3081.02769,833.90451,3.13549,3.13549,3.13549,52.86904,32.24562,6.33534,0.53608,0.39551,0.47817,-0.75198,7.63214,0.03139,-5.62708,89.76437,177.60991,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1180,1,6,3.50525,6.40662,2.99313,3.22513,3.90380,2.88477,10.40145,15.23969,8.32192,2.39338,5.60022,1.95380,1.77432,5.86933,4.72196,2.24892,3.25359,2.34019,4.86585,2.04253,3.99119,1172.61704,2875.71613,892.54639,3.13549,3.13549,3.13549,4.94503,45.92867,5.10883,0.56008,0.32525,0.57959,-0.69615,7.61393,0.00446,-5.22413,89.96642,179.63272,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1181,1,7,3.03725,6.22633,2.31358,3.10901,3.93776,2.72803,9.66597,15.50595,7.44217,2.57724,5.27720,1.43218,1.92408,5.81229,2.91285,1.74826,3.33242,1.91762,13.43400,2.05224,8.34703,970.43775,2786.16360,657.96657,3.13549,3.13549,3.13549,15.59310,37.23555,9.44865,0.36837,0.31545,0.50136,-0.51718,7.65773,0.07471,-3.86371,89.44103,171.78007,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1182,1,8,3.34419,6.08961,2.64038,3.67541,3.76639,3.07284,13.50864,14.18568,9.44233,2.53740,5.84511,1.39137,1.96894,5.46906,3.59855,2.06981,3.22049,2.39503,11.24431,1.93649,4.90431,1235.33116,2654.74195,846.01471,3.13549,3.13549,3.13549,42.41345,16.84673,5.51876,0.44478,0.38471,0.46465,-0.43378,7.52342,-0.01495,-3.29988,90.11385,-178.02626,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1183,1,9,2.99540,5.62264,2.94838,3.37242,3.64568,2.78988,11.37324,13.29097,7.78341,2.02940,4.91759,1.66175,1.89978,5.18694,3.95878,2.11841,3.02766,2.29984,9.83411,2.13707,3.79624,1049.77099,2230.48225,851.69590,3.13549,3.13549,3.13549,1.78754,67.55463,0.61808,0.40131,0.34240,0.48258,-0.42660,7.62315,-0.06003,-3.20301,90.45118,-171.99003,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
1184,1,10,2.51759,5.25341,2.07842,2.20723,3.33405,1.89588,4.87185,11.11589,3.59437,2.00953,4.58104,1.33518,2.11882,4.81260,2.14753,1.52084,2.73953,1.49015,6.69493,2.51131,3.63096,572.32354,2008.32779,401.99575,3.13549,3.13549,3.13549,18.70385,4.99928,18.27765,0.35403,0.21674,0.47672,-0.30009,7.87809,0.02115,-2.18141,89.84618,175.96838,3.89182,3.89182,3.89182,9,unknown,unknown,running,chest
